Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,25.033333,3.884473,70.427740,-0.000084,-4.076110,4.076110,0.00005885,0.01145916,4846.080679
1,25.066616,3.885771,70.455518,-0.000916,-4.076110,4.076110,0.00005885,0.01146030,4846.080679
2,25.099843,3.886838,70.483296,-0.001733,-4.076110,4.076110,0.00005886,0.01146145,4846.080679
3,25.133015,3.887890,70.511073,-0.002536,-4.076110,4.076110,0.00005887,0.01146259,4846.080679
4,25.166132,3.888930,70.538851,-0.003324,-4.076110,4.076110,0.00005887,0.01146372,4846.080679
5,25.199193,3.889957,70.566629,-0.004098,-4.076110,4.076110,0.00005888,0.01146486,4846.080679
6,25.232199,3.890970,70.594407,-0.004859,-4.076110,4.076110,0.00005888,0.01146599,4846.080679
7,25.265150,3.891969,70.622185,-0.005606,-4.076110,4.076110,0.00005889,0.01146713,4846.080679
8,25.298047,3.892886,70.649962,-0.006340,-4.076110,4.076110,0.00005890,0.01146826,4846.080679
9,25.330888,3.893774,70.677740,-0.007060,-4.076110,4.076110,0.00005890,0.01146939,4846.080679
10,25.363675,3.894649,70.705518,-0.007768,-4.076110,4.076110,0.00005891,0.01147051,4846.080679
11,25.396407,3.895512,70.733296,-0.008463,-4.076110,4.076110,0.00005891,0.01147164,4846.080679
12,25.429085,3.896362,70.761073,-0.009146,-4.076110,4.076110,0.00005892,0.01147276,4846.080679
13,25.461708,3.897200,70.788851,-0.009816,-4.076110,4.076110,0.00005892,0.01147388,4846.080679
14,25.494276,3.898026,70.816629,-0.010475,-4.076110,4.076110,0.00005893,0.01147500,4846.080679
15,25.526791,3.898884,70.844407,-0.011122,-4.076110,4.076110,0.00005894,0.01147612,4846.080679
16,25.559251,3.899769,70.872185,-0.011757,-4.076110,4.076110,0.00005894,0.01147724,4846.080679
17,25.591657,3.900643,70.899962,-0.012381,-4.076110,4.076110,0.00005895,0.01147835,4846.080679
18,25.624009,3.901506,70.927740,-0.012994,-4.076110,4.076110,0.00005895,0.01147946,4846.080679
19,25.656308,3.902285,70.955518,-0.013597,-4.076110,4.076110,0.00005896,0.01148057,4846.080679
20,25.688552,3.903044,70.983296,-0.014188,-4.076110,4.076110,0.00005896,0.01148168,4846.080679
21,25.720743,3.903792,71.011073,-0.014769,-4.076110,4.076110,0.00005897,0.01148279,4846.080679
22,25.752880,3.904551,71.038851,-0.015339,-4.076110,4.076110,0.00005898,0.01148389,4846.080679
23,25.784963,3.905364,71.066629,-0.015900,-4.076110,4.076110,0.00005898,0.01148500,4846.080679
24,25.816993,3.906167,71.094407,-0.016450,-4.076110,4.076110,0.00005899,0.01148610,4846.080679
25,25.848970,3.906960,71.122185,-0.016991,-4.076110,4.076110,0.00005899,0.01148720,4846.080679
26,25.880893,3.907693,71.149962,-0.017522,-4.076110,4.076110,0.00005900,0.01148829,4846.080679
27,25.912763,3.908382,71.177740,-0.018044,-4.076110,4.076110,0.00005900,0.01148939,4846.080679
28,25.944580,3.909062,71.205518,-0.018556,-4.076110,4.076110,0.00005901,0.01149048,4846.080679
