Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,25.033333,3.960472,80.445792,-0.000084,-3.994844,4.076110,0.00005885,0.01145916,4846.080679
1,25.066616,3.961826,80.473016,-0.000899,-3.985487,4.076110,0.00005885,0.01146030,4846.080679
2,25.099843,3.962952,80.500176,-0.001698,-3.980578,4.076110,0.00005886,0.01146145,4846.080679
3,25.133014,3.964063,80.527303,-0.002482,-3.975669,4.076110,0.00005887,0.01146259,4846.080679
4,25.166131,3.965096,80.554396,-0.003251,-3.970767,4.076110,0.00005887,0.01146372,4846.080679
5,25.199192,3.966013,80.581456,-0.004005,-3.965871,4.076110,0.00005888,0.01146486,4846.080679
6,25.232198,3.966916,80.608483,-0.004745,-3.960981,4.076110,0.00005888,0.01146599,4846.080679
7,25.265149,3.967803,80.635476,-0.005470,-3.956097,4.076110,0.00005889,0.01146713,4846.080679
8,25.298045,3.968728,80.662436,-0.006181,-3.951219,4.076110,0.00005890,0.01146826,4846.080679
9,25.330886,3.969667,80.689362,-0.006879,-3.946347,4.076110,0.00005890,0.01146939,4846.080679
10,25.363672,3.970593,80.716256,-0.007564,-3.941481,4.076110,0.00005891,0.01147051,4846.080679
11,25.396404,3.971506,80.743116,-0.008235,-3.936621,4.076110,0.00005891,0.01147164,4846.080679
12,25.429081,3.972407,80.769943,-0.008893,-3.931767,4.076110,0.00005892,0.01147276,4846.080679
13,25.461704,3.973296,80.796737,-0.009539,-3.926919,4.076110,0.00005892,0.01147388,4846.080679
14,25.494273,3.974172,80.823498,-0.010172,-3.922077,4.076110,0.00005893,0.01147500,4846.080679
15,25.526787,3.975036,80.850227,-0.010793,-3.917241,4.076110,0.00005894,0.01147612,4846.080679
16,25.559246,3.975884,80.876922,-0.011401,-3.912411,4.076110,0.00005894,0.01147724,4846.080679
17,25.591652,3.976721,80.903584,-0.011998,-3.907587,4.076110,0.00005895,0.01147835,4846.080679
18,25.624004,3.977545,80.930213,-0.012584,-3.902768,4.076110,0.00005895,0.01147946,4846.080679
19,25.656302,3.978359,80.956810,-0.013158,-3.897956,4.076110,0.00005896,0.01148057,4846.080679
20,25.688546,3.979163,80.983373,-0.013721,-3.893150,4.076110,0.00005896,0.01148168,4846.080679
21,25.720736,3.979956,81.009904,-0.014272,-3.888349,4.076110,0.00005897,0.01148279,4846.080679
22,25.752873,3.980737,81.036403,-0.014813,-3.883554,4.076110,0.00005898,0.01148389,4846.080679
23,25.784956,3.981469,81.062868,-0.015344,-3.878766,4.076110,0.00005898,0.01148500,4846.080679
24,25.816985,3.982149,81.089301,-0.015864,-3.873983,4.076110,0.00005899,0.01148610,4846.080679
