Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,25.033333,3.500870,20.134855,-0.000084,-4.076110,4.076110,0.00005885,0.01145916,4846.080679
1,25.066616,3.502338,20.162632,-0.000916,-4.076110,4.076110,0.00005885,0.01146030,4846.080679
2,25.099843,3.503575,20.190410,-0.001733,-4.076110,4.076110,0.00005886,0.01146145,4846.080679
3,25.133015,3.504798,20.218188,-0.002536,-4.076110,4.076110,0.00005887,0.01146259,4846.080679
4,25.166132,3.506006,20.245966,-0.003324,-4.076110,4.076110,0.00005887,0.01146372,4846.080679
5,25.199193,3.507201,20.273744,-0.004098,-4.076110,4.076110,0.00005888,0.01146486,4846.080679
6,25.232199,3.508381,20.301521,-0.004859,-4.076110,4.076110,0.00005888,0.01146599,4846.080679
7,25.265150,3.509548,20.329299,-0.005606,-4.076110,4.076110,0.00005889,0.01146713,4846.080679
8,25.298047,3.510632,20.357077,-0.006340,-4.076110,4.076110,0.00005890,0.01146826,4846.080679
9,25.330888,3.511688,20.384855,-0.007060,-4.076110,4.076110,0.00005890,0.01146939,4846.080679
10,25.363675,3.512730,20.412632,-0.007768,-4.076110,4.076110,0.00005891,0.01147051,4846.080679
11,25.396407,3.513774,20.440410,-0.008463,-4.076110,4.076110,0.00005891,0.01147164,4846.080679
12,25.429085,3.514874,20.468188,-0.009146,-4.076110,4.076110,0.00005892,0.01147276,4846.080679
13,25.461708,3.515962,20.495966,-0.009816,-4.076110,4.076110,0.00005892,0.01147388,4846.080679
14,25.494276,3.517038,20.523744,-0.010475,-4.076110,4.076110,0.00005893,0.01147500,4846.080679
15,25.526791,3.518015,20.551521,-0.011122,-4.076110,4.076110,0.00005894,0.01147612,4846.080679
16,25.559251,3.518903,20.579299,-0.011757,-4.076110,4.076110,0.00005894,0.01147724,4846.080679
17,25.591657,3.519780,20.607077,-0.012381,-4.076110,4.076110,0.00005895,0.01147835,4846.080679
18,25.624009,3.520646,20.634855,-0.012994,-4.076110,4.076110,0.00005895,0.01147946,4846.080679
19,25.656308,3.521573,20.662632,-0.013597,-4.076110,4.076110,0.00005896,0.01148057,4846.080679
20,25.688552,3.522499,20.690410,-0.014188,-4.076110,4.076110,0.00005896,0.01148168,4846.080679
21,25.720743,3.523415,20.718188,-0.014769,-4.076110,4.076110,0.00005897,0.01148279,4846.080679
22,25.752880,3.524321,20.745966,-0.015339,-4.076110,4.076110,0.00005898,0.01148389,4846.080679
23,25.784963,3.525216,20.773744,-0.015900,-4.076110,4.076110,0.00005898,0.01148500,4846.080679
24,25.816993,3.526102,20.801521,-0.016450,-4.076110,4.076110,0.00005899,0.01148610,4846.080679
25,25.848970,3.526977,20.829299,-0.016991,-4.076110,4.076110,0.00005899,0.01148720,4846.080679
26,25.880893,3.527894,20.857077,-0.017522,-4.076110,4.076110,0.00005900,0.01148829,4846.080679
27,25.912763,3.528836,20.884855,-0.018044,-4.076110,4.076110,0.00005900,0.01148939,4846.080679
28,25.944580,3.529768,20.912632,-0.018556,-4.076110,4.076110,0.00005901,0.01149048,4846.080679
29,25.976344,3.530692,20.940410,-0.019060,-4.076110,4.076110,0.00005902,0.01149157,4846.080679
30,26.008055,3.531443,20.968188,-0.019554,-4.076110,4.076110,0.00005902,0.01149266,4846.080679
31,26.039713,3.532179,20.995966,-0.020040,-4.076110,4.076110,0.00005903,0.01149375,4846.080679
32,26.071318,3.532906,21.023744,-0.020517,-4.076110,4.076110,0.00005903,0.01149484,4846.080679
33,26.102871,3.533625,21.051521,-0.020986,-4.076110,4.076110,0.00005904,0.01149592,4846.080679
34,26.134371,3.534338,21.079299,-0.021446,-4.076110,4.076110,0.00005904,0.01149701,4846.080679
35,26.165819,3.535043,21.107077,-0.021898,-4.076110,4.076110,0.00005905,0.01149809,4846.080679
36,26.197214,3.535739,21.134855,-0.022342,-4.076110,4.076110,0.00005905,0.01149917,4846.080679
37,26.228557,3.536538,21.162632,-0.022779,-4.076110,4.076110,0.00005906,0.01150024,4846.080679
38,26.259848,3.537384,21.190410,-0.023207,-4.076110,4.076110,0.00005907,0.01150132,4846.080679
39,26.291086,3.538222,21.218188,-0.023628,-4.076110,4.076110,0.00005907,0.01150239,4846.080679
