Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,25.033333,4.056585,90.462248,-0.000084,-2.180258,4.076110,0.00005885,0.01145916,4846.080679
1,25.066613,4.057223,90.477106,-0.000528,-2.175381,4.076110,0.00005885,0.01146030,4846.080679
2,25.099836,4.057747,90.491931,-0.000964,-2.172701,4.076110,0.00005886,0.01146144,4846.080679
3,25.133005,4.058264,90.506737,-0.001391,-2.170022,4.076110,0.00005887,0.01146259,4846.080679
4,25.166118,4.058772,90.521526,-0.001810,-2.167347,4.076110,0.00005887,0.01146372,4846.080679
5,25.199175,4.059272,90.536296,-0.002221,-2.164674,4.076110,0.00005888,0.01146486,4846.080679
6,25.232178,4.059763,90.551047,-0.002624,-2.162005,4.076110,0.00005888,0.01146599,4846.080679
7,25.265126,4.060263,90.565781,-0.003019,-2.159340,4.076110,0.00005889,0.01146713,4846.080679
8,25.298019,4.060783,90.580496,-0.003407,-2.156677,4.076110,0.00005890,0.01146826,4846.080679
9,25.330857,4.061295,90.595194,-0.003787,-2.154018,4.076110,0.00005890,0.01146939,4846.080679
10,25.363640,4.061800,90.609873,-0.004160,-2.151362,4.076110,0.00005891,0.01147051,4846.080679
11,25.396369,4.062297,90.624534,-0.004526,-2.148709,4.076110,0.00005891,0.01147164,4846.080679
12,25.429043,4.062787,90.639177,-0.004885,-2.146059,4.076110,0.00005892,0.01147276,4846.080679
13,25.461662,4.063271,90.653802,-0.005237,-2.143413,4.076110,0.00005892,0.01147388,4846.080679
14,25.494228,4.063727,90.668409,-0.005582,-2.140770,4.076110,0.00005893,0.01147500,4846.080679
15,25.526739,4.064154,90.682997,-0.005920,-2.138131,4.076110,0.00005894,0.01147612,4846.080679
16,25.559195,4.064573,90.697568,-0.006252,-2.135494,4.076110,0.00005894,0.01147724,4846.080679
17,25.591598,4.064986,90.712121,-0.006577,-2.132861,4.076110,0.00005895,0.01147835,4846.080679
18,25.623947,4.065392,90.726656,-0.006896,-2.130231,4.076110,0.00005895,0.01147946,4846.080679
19,25.656242,4.065793,90.741173,-0.007209,-2.127604,4.076110,0.00005896,0.01148057,4846.080679
20,25.688482,4.066187,90.755672,-0.007516,-2.124981,4.076110,0.00005896,0.01148168,4846.080679
21,25.720670,4.066596,90.770154,-0.007816,-2.122361,4.076110,0.00005897,0.01148279,4846.080679
22,25.752803,4.067022,90.784617,-0.008111,-2.119744,4.076110,0.00005898,0.01148389,4846.080679
23,25.784883,4.067443,90.799063,-0.008400,-2.117130,4.076110,0.00005898,0.01148499,4846.080679
24,25.816910,4.067857,90.813490,-0.008684,-2.114520,4.076110,0.00005899,0.01148609,4846.080679
25,25.848883,4.068266,90.827900,-0.008962,-2.111913,4.076110,0.00005899,0.01148719,4846.080679
26,25.880803,4.068669,90.842293,-0.009234,-2.109308,4.076110,0.00005900,0.01148829,4846.080679
27,25.912669,4.069066,90.856667,-0.009501,-2.106707,4.076110,0.00005900,0.01148939,4846.080679
28,25.944483,4.069438,90.871024,-0.009763,-2.104110,4.076110,0.00005901,0.01149048,4846.080679
29,25.976243,4.069781,90.885363,-0.010019,-2.101515,4.076110,0.00005902,0.01149157,4846.080679
30,26.007951,4.070118,90.899684,-0.010271,-2.098924,4.076110,0.00005902,0.01149266,4846.080679
