Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,24.958333,4.056585,90.462248,-0.000084,-2.180258,4.076110,0.00005884,0.01145658,4846.080679
1,24.916738,4.057223,90.477106,-0.000528,-2.175381,4.076110,0.00005883,0.01145515,4846.080679
2,24.875211,4.057747,90.491931,-0.000964,-2.172701,4.076110,0.00005882,0.01145372,4846.080679
3,24.833754,4.058264,90.506737,-0.001391,-2.170022,4.076110,0.00005881,0.01145230,4846.080679
4,24.792366,4.058771,90.521526,-0.001810,-2.167347,4.076110,0.00005881,0.01145088,4846.080679
5,24.751046,4.059271,90.536296,-0.002221,-2.164674,4.076110,0.00005880,0.01144946,4846.080679
6,24.709796,4.059763,90.551047,-0.002624,-2.162005,4.076110,0.00005879,0.01144804,4846.080679
7,24.668614,4.060262,90.565781,-0.003019,-2.159340,4.076110,0.00005878,0.01144662,4846.080679
8,24.627501,4.060782,90.580496,-0.003407,-2.156677,4.076110,0.00005878,0.01144521,4846.080679
9,24.586457,4.061294,90.595194,-0.003787,-2.154018,4.076110,0.00005877,0.01144380,4846.080679
10,24.545481,4.061799,90.609873,-0.004160,-2.151362,4.076110,0.00005876,0.01144239,4846.080679
11,24.504573,4.062296,90.624534,-0.004525,-2.148709,4.076110,0.00005876,0.01144098,4846.080679
12,24.463733,4.062786,90.639177,-0.004884,-2.146059,4.076110,0.00005875,0.01143958,4846.080679
13,24.422962,4.063269,90.653802,-0.005235,-2.143413,4.076110,0.00005874,0.01143818,4846.080679
14,24.382258,4.063725,90.668409,-0.005580,-2.140770,4.076110,0.00005873,0.01143678,4846.080679
15,24.341623,4.064151,90.682997,-0.005918,-2.138131,4.076110,0.00005873,0.01143538,4846.080679
16,24.301055,4.064570,90.697568,-0.006249,-2.135494,4.076110,0.00005872,0.01143399,4846.080679
17,24.260554,4.064983,90.712121,-0.006574,-2.132861,4.076110,0.00005871,0.01143260,4846.080679
18,24.220121,4.065389,90.726656,-0.006893,-2.130231,4.076110,0.00005871,0.01143121,4846.080679
19,24.179756,4.065788,90.741173,-0.007205,-2.127604,4.076110,0.00005870,0.01142982,4846.080679
20,24.139457,4.066182,90.755672,-0.007511,-2.124981,4.076110,0.00005869,0.01142843,4846.080679
21,24.099226,4.066591,90.770154,-0.007811,-2.122361,4.076110,0.00005868,0.01142705,4846.080679
22,24.059062,4.067016,90.784617,-0.008106,-2.119744,4.076110,0.00005868,0.01142567,4846.080679
23,24.018965,4.067436,90.799063,-0.008394,-2.117130,4.076110,0.00005867,0.01142429,4846.080679
24,23.978935,4.067849,90.813490,-0.008677,-2.114520,4.076110,0.00005866,0.01142292,4846.080679
25,23.938971,4.068257,90.827900,-0.008954,-2.111913,4.076110,0.00005866,0.01142154,4846.080679
26,23.899074,4.068660,90.842293,-0.009225,-2.109308,4.076110,0.00005865,0.01142017,4846.080679
27,23.859244,4.069056,90.856667,-0.009491,-2.106707,4.076110,0.00005864,0.01141880,4846.080679
28,23.819480,4.069427,90.871024,-0.009752,-2.104110,4.076110,0.00005863,0.01141743,4846.080679
29,23.779782,4.069769,90.885363,-0.010008,-2.101515,4.076110,0.00005863,0.01141607,4846.080679
30,23.740150,4.070105,90.899684,-0.010258,-2.098924,4.076110,0.00005862,0.01141471,4846.080679
31,23.700585,4.070437,90.913988,-0.010504,-2.096336,4.076110,0.00005861,0.01141335,4846.080679
32,23.661085,4.070763,90.928274,-0.010744,-2.093751,4.076110,0.00005861,0.01141199,4846.080679
33,23.621651,4.071084,90.942542,-0.010980,-2.091169,4.076110,0.00005860,0.01141063,4846.080679
34,23.582283,4.071401,90.956793,-0.011211,-2.088591,4.076110,0.00005859,0.01140928,4846.080679
35,23.542980,4.071713,90.971027,-0.011437,-2.086016,4.076110,0.00005859,0.01140793,4846.080679
36,23.503743,4.072020,90.985242,-0.011658,-2.083443,4.076110,0.00005858,0.01140658,4846.080679
37,23.464572,4.072322,90.999441,-0.011875,-2.080874,4.076110,0.00005857,0.01140523,4846.080679
38,23.425465,4.072620,91.013621,-0.012088,-2.078309,4.076110,0.00005857,0.01140389,4846.080679
39,23.386424,4.072914,91.027784,-0.012296,-2.075746,4.076110,0.00005856,0.01140255,4846.080679
40,23.347448,4.073203,91.041930,-0.012500,-2.073186,4.076110,0.00005855,0.01140121,4846.080679
41,23.308537,4.073487,91.056058,-0.012700,-2.070630,4.076110,0.00005854,0.01139987,4846.080679
42,23.269691,4.073768,91.070169,-0.012895,-2.068077,4.076110,0.00005854,0.01139854,4846.080679
43,23.230909,4.074044,91.084263,-0.013087,-2.065527,4.076110,0.00005853,0.01139720,4846.080679
44,23.192192,4.074316,91.098339,-0.013275,-2.062980,4.076110,0.00005852,0.01139587,4846.080679
45,23.153540,4.074585,91.112398,-0.013458,-2.060436,4.076110,0.00005852,0.01139454,4846.080679
46,23.114952,4.074849,91.126439,-0.013638,-2.057896,4.076110,0.00005851,0.01139322,4846.080679
47,23.076428,4.075109,91.140463,-0.013814,-2.055358,4.076110,0.00005850,0.01139189,4846.080679
48,23.037969,4.075366,91.154470,-0.013986,-2.052824,4.076110,0.00005850,0.01139057,4846.080679
49,22.999573,4.075621,91.168460,-0.014155,-2.050293,4.076110,0.00005849,0.01138925,4846.080679
50,22.961242,4.075913,91.182432,-0.014320,-2.047765,4.076110,0.00005848,0.01138793,4846.080679
51,22.922974,4.076201,91.196387,-0.014482,-2.045240,4.076110,0.00005848,0.01138662,4846.080679
52,22.884771,4.076485,91.210325,-0.014640,-2.042718,4.076110,0.00005847,0.01138530,4846.080679
53,22.846630,4.076767,91.224245,-0.014795,-2.040199,4.076110,0.00005846,0.01138399,4846.080679
54,22.808554,4.077044,91.238149,-0.014946,-2.037684,4.076110,0.00005846,0.01138268,4846.080679
55,22.770541,4.077319,91.252035,-0.015094,-2.035171,4.076110,0.00005845,0.01138138,4846.080679
56,22.732591,4.077589,91.265905,-0.015239,-2.032662,4.076110,0.00005844,0.01138007,4846.080679
57,22.694705,4.077824,91.279757,-0.015381,-2.030155,4.076110,0.00005844,0.01137877,4846.080679
