Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,24.958333,3.960472,80.445792,-0.000084,-3.994844,4.076110,0.00005884,0.01145658,4846.080679
1,24.916741,3.961826,80.473016,-0.000899,-3.985487,4.076110,0.00005883,0.01145515,4846.080679
2,24.875218,3.962952,80.500176,-0.001698,-3.980578,4.076110,0.00005882,0.01145372,4846.080679
3,24.833764,3.964062,80.527303,-0.002482,-3.975669,4.076110,0.00005881,0.01145230,4846.080679
4,24.792379,3.965096,80.554396,-0.003251,-3.970767,4.076110,0.00005881,0.01145088,4846.080679
5,24.751063,3.966013,80.581456,-0.004005,-3.965871,4.076110,0.00005880,0.01144946,4846.080679
6,24.709815,3.966915,80.608483,-0.004744,-3.960981,4.076110,0.00005879,0.01144804,4846.080679
7,24.668637,3.967803,80.635476,-0.005469,-3.956097,4.076110,0.00005878,0.01144662,4846.080679
8,24.627527,3.968727,80.662436,-0.006181,-3.951219,4.076110,0.00005878,0.01144521,4846.080679
9,24.586486,3.969666,80.689362,-0.006878,-3.946347,4.076110,0.00005877,0.01144380,4846.080679
10,24.545513,3.970592,80.716256,-0.007562,-3.941481,4.076110,0.00005876,0.01144239,4846.080679
11,24.504608,3.971504,80.743116,-0.008233,-3.936621,4.076110,0.00005876,0.01144098,4846.080679
12,24.463772,3.972405,80.769943,-0.008891,-3.931767,4.076110,0.00005875,0.01143958,4846.080679
13,24.423004,3.973293,80.796737,-0.009536,-3.926919,4.076110,0.00005874,0.01143818,4846.080679
14,24.382303,3.974169,80.823498,-0.010169,-3.922077,4.076110,0.00005873,0.01143678,4846.080679
15,24.341670,3.975031,80.850227,-0.010789,-3.917241,4.076110,0.00005873,0.01143538,4846.080679
16,24.301106,3.975879,80.876922,-0.011397,-3.912411,4.076110,0.00005872,0.01143399,4846.080679
17,24.260608,3.976715,80.903584,-0.011993,-3.907587,4.076110,0.00005871,0.01143260,4846.080679
18,24.220178,3.977538,80.930213,-0.012578,-3.902768,4.076110,0.00005871,0.01143121,4846.080679
19,24.179816,3.978351,80.956810,-0.013151,-3.897956,4.076110,0.00005870,0.01142982,4846.080679
20,24.139521,3.979154,80.983373,-0.013713,-3.893150,4.076110,0.00005869,0.01142844,4846.080679
21,24.099292,3.979946,81.009904,-0.014264,-3.888349,4.076110,0.00005868,0.01142705,4846.080679
22,24.059131,3.980726,81.036403,-0.014803,-3.883554,4.076110,0.00005868,0.01142567,4846.080679
23,24.019037,3.981457,81.062868,-0.015333,-3.878766,4.076110,0.00005867,0.01142429,4846.080679
24,23.979010,3.982135,81.089301,-0.015851,-3.873983,4.076110,0.00005866,0.01142292,4846.080679
25,23.939049,3.982802,81.115701,-0.016360,-3.869206,4.076110,0.00005866,0.01142154,4846.080679
26,23.899155,3.983459,81.142069,-0.016858,-3.864435,4.076110,0.00005865,0.01142017,4846.080679
27,23.859328,3.984106,81.168404,-0.017346,-3.859670,4.076110,0.00005864,0.01141880,4846.080679
28,23.819567,3.984742,81.194707,-0.017825,-3.854912,4.076110,0.00005863,0.01141744,4846.080679
29,23.779872,3.985369,81.220978,-0.018294,-3.850159,4.076110,0.00005863,0.01141607,4846.080679
30,23.740243,3.985987,81.247216,-0.018754,-3.845413,4.076110,0.00005862,0.01141471,4846.080679
31,23.700680,3.986784,81.273421,-0.019204,-3.840673,4.076110,0.00005861,0.01141335,4846.080679
32,23.661183,3.987621,81.299595,-0.019645,-3.835937,4.076110,0.00005861,0.01141199,4846.080679
33,23.621752,3.988448,81.325736,-0.020078,-3.831206,4.076110,0.00005860,0.01141064,4846.080679
34,23.582387,3.989266,81.351844,-0.020501,-3.826481,4.076110,0.00005859,0.01140928,4846.080679
35,23.543087,3.989927,81.377921,-0.020916,-3.821762,4.076110,0.00005859,0.01140793,4846.080679
36,23.503853,3.990568,81.403965,-0.021323,-3.817049,4.076110,0.00005858,0.01140658,4846.080679
37,23.464684,3.991200,81.429978,-0.021721,-3.812343,4.076110,0.00005857,0.01140524,4846.080679
38,23.425581,3.991820,81.455958,-0.022111,-3.807642,4.076110,0.00005857,0.01140389,4846.080679
39,23.386542,3.992358,81.481906,-0.022493,-3.802946,4.076110,0.00005856,0.01140255,4846.080679
40,23.347569,3.992889,81.507822,-0.022868,-3.798257,4.076110,0.00005855,0.01140121,4846.080679
41,23.308661,3.993411,81.533707,-0.023234,-3.793574,4.076110,0.00005854,0.01139988,4846.080679
42,23.269817,3.993936,81.559559,-0.023593,-3.788897,4.076110,0.00005854,0.01139854,4846.080679
43,23.231038,3.994522,81.585380,-0.023944,-3.784225,4.076110,0.00005853,0.01139721,4846.080679
44,23.192324,3.995100,81.611168,-0.024289,-3.779559,4.076110,0.00005852,0.01139588,4846.080679
45,23.153674,3.995671,81.636925,-0.024626,-3.774899,4.076110,0.00005852,0.01139455,4846.080679
46,23.115089,3.996234,81.662650,-0.024956,-3.770244,4.076110,0.00005851,0.01139322,4846.080679
47,23.076568,3.996788,81.688344,-0.025279,-3.765595,4.076110,0.00005850,0.01139190,4846.080679
48,23.038111,3.997334,81.714005,-0.025595,-3.760952,4.076110,0.00005850,0.01139058,4846.080679
49,22.999719,3.997874,81.739635,-0.025904,-3.756315,4.076110,0.00005849,0.01138926,4846.080679
50,22.961390,3.998407,81.765234,-0.026207,-3.751683,4.076110,0.00005848,0.01138794,4846.080679
51,22.923125,3.998936,81.790801,-0.026504,-3.747057,4.076110,0.00005848,0.01138662,4846.080679
52,22.884924,3.999458,81.816336,-0.026794,-3.742437,4.076110,0.00005847,0.01138531,4846.080679
53,22.846787,3.999974,81.841840,-0.027078,-3.737822,4.076110,0.00005846,0.01138400,4846.080679
54,22.808713,4.000482,81.867312,-0.027356,-3.733213,4.076110,0.00005846,0.01138269,4846.080679
55,22.770702,4.000983,81.892753,-0.027628,-3.728610,4.076110,0.00005845,0.01138138,4846.080679
56,22.732755,4.001477,81.918163,-0.027894,-3.724013,4.076110,0.00005844,0.01138008,4846.080679
57,22.694871,4.001965,81.943541,-0.028154,-3.719421,4.076110,0.00005844,0.01137878,4846.080679
58,22.657050,4.002448,81.968888,-0.028409,-3.714835,4.076110,0.00005843,0.01137748,4846.080679
59,22.619293,4.002927,81.994204,-0.028658,-3.710254,4.076110,0.00005842,0.01137618,4846.080679
60,22.581598,4.003400,82.019489,-0.028901,-3.705680,4.076110,0.00005842,0.01137488,4846.080679
61,22.543966,4.003867,82.044742,-0.029139,-3.701111,4.076110,0.00005841,0.01137359,4846.080679
62,22.506397,4.004376,82.069964,-0.029372,-3.696549,4.076110,0.00005840,0.01137230,4846.080679
63,22.468890,4.004984,82.095155,-0.029600,-3.691991,4.076110,0.00005840,0.01137101,4846.080679
64,22.431446,4.005587,82.120315,-0.029823,-3.687438,4.076110,0.00005839,0.01136972,4846.080679
65,22.394064,4.006184,82.145445,-0.030040,-3.682890,4.076110,0.00005838,0.01136844,4846.080679
66,22.356745,4.006711,82.170543,-0.030253,-3.678347,4.076110,0.00005838,0.01136715,4846.080679
67,22.319487,4.007070,82.195610,-0.030461,-3.673812,4.076110,0.00005837,0.01136587,4846.080679
68,22.282292,4.007423,82.220646,-0.030664,-3.669282,4.076110,0.00005836,0.01136459,4846.080679
69,22.245159,4.007772,82.245651,-0.030862,-3.664757,4.076110,0.00005836,0.01136332,4846.080679
70,22.208087,4.008117,82.270626,-0.031056,-3.660238,4.076110,0.00005835,0.01136204,4846.080679
71,22.171078,4.008456,82.295569,-0.031246,-3.655725,4.076110,0.00005834,0.01136077,4846.080679
