Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,24.958333,3.689455,50.290437,-0.000084,-4.076110,4.076110,0.00005884,0.01145658,4846.080679
1,24.916741,3.690670,50.318215,-0.000916,-4.076110,4.076110,0.00005883,0.01145515,4846.080679
2,24.875218,3.691655,50.345993,-0.001733,-4.076110,4.076110,0.00005882,0.01145372,4846.080679
3,24.833764,3.692625,50.373771,-0.002536,-4.076110,4.076110,0.00005881,0.01145230,4846.080679
4,24.792380,3.693618,50.401548,-0.003324,-4.076110,4.076110,0.00005881,0.01145088,4846.080679
5,24.751064,3.694642,50.429326,-0.004098,-4.076110,4.076110,0.00005880,0.01144946,4846.080679
6,24.709817,3.695652,50.457104,-0.004859,-4.076110,4.076110,0.00005879,0.01144804,4846.080679
7,24.668639,3.696649,50.484882,-0.005605,-4.076110,4.076110,0.00005878,0.01144662,4846.080679
8,24.627529,3.697565,50.512659,-0.006339,-4.076110,4.076110,0.00005878,0.01144521,4846.080679
9,24.586488,3.698452,50.540437,-0.007059,-4.076110,4.076110,0.00005877,0.01144380,4846.080679
10,24.545516,3.699327,50.568215,-0.007767,-4.076110,4.076110,0.00005876,0.01144239,4846.080679
11,24.504611,3.700189,50.595993,-0.008461,-4.076110,4.076110,0.00005876,0.01144098,4846.080679
12,24.463775,3.701039,50.623771,-0.009144,-4.076110,4.076110,0.00005875,0.01143958,4846.080679
13,24.423007,3.701877,50.651548,-0.009814,-4.076110,4.076110,0.00005874,0.01143818,4846.080679
14,24.382307,3.702702,50.679326,-0.010472,-4.076110,4.076110,0.00005873,0.01143678,4846.080679
15,24.341675,3.703516,50.707104,-0.011118,-4.076110,4.076110,0.00005873,0.01143538,4846.080679
16,24.301110,3.704318,50.734882,-0.011753,-4.076110,4.076110,0.00005872,0.01143399,4846.080679
17,24.260613,3.705109,50.762659,-0.012376,-4.076110,4.076110,0.00005871,0.01143260,4846.080679
18,24.220184,3.705888,50.790437,-0.012988,-4.076110,4.076110,0.00005871,0.01143121,4846.080679
19,24.179822,3.706805,50.818215,-0.013590,-4.076110,4.076110,0.00005870,0.01142982,4846.080679
20,24.139527,3.707730,50.845993,-0.014180,-4.076110,4.076110,0.00005869,0.01142844,4846.080679
21,24.099299,3.708645,50.873771,-0.014760,-4.076110,4.076110,0.00005868,0.01142705,4846.080679
22,24.059138,3.709489,50.901548,-0.015329,-4.076110,4.076110,0.00005868,0.01142567,4846.080679
23,24.019045,3.710133,50.929326,-0.015888,-4.076110,4.076110,0.00005867,0.01142429,4846.080679
24,23.979018,3.710767,50.957104,-0.016437,-4.076110,4.076110,0.00005866,0.01142292,4846.080679
25,23.939058,3.711392,50.984882,-0.016977,-4.076110,4.076110,0.00005866,0.01142154,4846.080679
26,23.899164,3.712105,51.012659,-0.017506,-4.076110,4.076110,0.00005865,0.01142017,4846.080679
27,23.859337,3.712875,51.040437,-0.018026,-4.076110,4.076110,0.00005864,0.01141880,4846.080679
28,23.819576,3.713635,51.068215,-0.018537,-4.076110,4.076110,0.00005863,0.01141744,4846.080679
29,23.779882,3.714386,51.095993,-0.019038,-4.076110,4.076110,0.00005863,0.01141607,4846.080679
30,23.740254,3.714971,51.123771,-0.019531,-4.076110,4.076110,0.00005862,0.01141471,4846.080679
31,23.700691,3.715540,51.151548,-0.020015,-4.076110,4.076110,0.00005861,0.01141335,4846.080679
32,23.661195,3.716100,51.179326,-0.020489,-4.076110,4.076110,0.00005861,0.01141199,4846.080679
33,23.621765,3.716703,51.207104,-0.020956,-4.076110,4.076110,0.00005860,0.01141064,4846.080679
34,23.582400,3.717414,51.234882,-0.021414,-4.076110,4.076110,0.00005859,0.01140928,4846.080679
35,23.543101,3.718116,51.262659,-0.021863,-4.076110,4.076110,0.00005859,0.01140793,4846.080679
36,23.503867,3.718810,51.290437,-0.022305,-4.076110,4.076110,0.00005858,0.01140659,4846.080679
37,23.464699,3.719494,51.318215,-0.022739,-4.076110,4.076110,0.00005857,0.01140524,4846.080679
38,23.425596,3.720170,51.345993,-0.023164,-4.076110,4.076110,0.00005857,0.01140389,4846.080679
39,23.386558,3.720838,51.373771,-0.023583,-4.076110,4.076110,0.00005856,0.01140255,4846.080679
40,23.347585,3.721498,51.401548,-0.023993,-4.076110,4.076110,0.00005855,0.01140121,4846.080679
41,23.308678,3.722154,51.429326,-0.024396,-4.076110,4.076110,0.00005854,0.01139988,4846.080679
42,23.269835,3.722803,51.457104,-0.024792,-4.076110,4.076110,0.00005854,0.01139854,4846.080679
43,23.231057,3.723445,51.484882,-0.025181,-4.076110,4.076110,0.00005853,0.01139721,4846.080679
44,23.192343,3.724046,51.512659,-0.025563,-4.076110,4.076110,0.00005852,0.01139588,4846.080679
45,23.153694,3.724589,51.540437,-0.025937,-4.076110,4.076110,0.00005852,0.01139455,4846.080679
